scenario,end,year,CY,CY_ts,VOLL,isolated,CO2_cost,load_shedding_cost,VOM_cost,fuel_cost,investment_cost,CCGT,OCGT,PV,w_on,w_off,imported,exported,demand,peak_demand
National Trends,8760,2025,1984,2012,10000,true,1.8944861100547554e9,8.141678292099823e6,6.183287073861968e7,1.8269407644030664e9,3.651585169807364e9,8851.454221128175,4278.370209133663,0.0,4012.5732677687624,10221.273230455367,0.0,0.0,8.69635119482746e7,14285.63010128753
National Trends,8760,2025,1984,2012,10000,false,1.1975218599688224e8,3.308034405479252e6,3.2096221423253817e6,1.1548258341031538e8,3.744698023423585e9,194.8003746955859,4032.879266796504,0.0,6950.681489816438,12858.925514632125,3.69156307299656e7,2.341039652016169e7,8.69635119482746e7,14285.63010128753
National Trends,8760,2030,1984,2012,10000,true,2.4133342548745666e9,1.0983725177742798e7,5.887449626324081e7,1.709852205199462e9,4.169515138260552e9,9151.279175402833,4078.4932246658736,1589.600088202287,6084.683662260594,10619.238437573615,0.0,0.0,9.07719033511458e7,14716.487154535243
National Trends,8760,2030,1984,2012,10000,false,3.891673558450384e8,6.990786752408703e6,8.609117634517334e6,2.757258594574037e8,3.101443190597273e9,1177.1800423488346,3484.5599380366234,0.0,4677.270858934654,10827.21045504534,4.299669619155086e7,1.518882308157709e7,9.07719033511458e7,14716.487154535243
National Trends,8760,2040,1984,2012,10000,true,3.560793938218378e9,9.761310900312673e6,5.758326162909322e7,1.6711738226183987e9,5.568555243813383e9,10181.874960890433,4876.014132174756,5482.692312330189,10362.861325314536,12305.804811601018,0.0,0.0,1.0432448647263032e8,17470.77068681304
National Trends,8760,2040,1984,2012,10000,false,1.1511526433700573e9,0.0,1.6731332877008788e7,5.402660745936235e8,4.615660233505212e9,2759.3233836206864,10224.185116775036,0.0,3764.929122865239,16536.4637231415,3.930290849112706e7,2.228263497263527e7,1.0432448647263032e8,17470.77068681304
Distributed Energy,8760,2030,1984,2012,10000,true,2.6503837988787513e9,1.2326792700529095e7,6.473456858260262e7,1.8778022870161014e9,4.615506039951034e9,10008.285900984672,3936.6664443800346,2312.9388973449995,6922.265202274343,11568.320282487452,0.0,0.0,1.0081797315132202e8,15831.281969222224
Distributed Energy,8760,2030,1984,2012,10000,false,1.032765719256381e9,0.0,2.3972258593791936e7,7.317166028527254e8,4.456595886404584e9,3370.4762005549555,8217.668162234815,0.0,6841.319854876994,14004.351302153666,3.432778729535563e7,2.483983018054405e7,1.0081797315132202e8,15831.281969222224
Distributed Energy,8760,2040,1984,2012,10000,true,3.635267828629999e9,1.321428843163053e7,5.883360225097755e7,1.706126369236899e9,5.942942096211453e9,10369.089409665561,4660.0843029577845,8620.197728144165,10910.743525194566,12305.10746782611,0.0,0.0,1.09794583736913e8,16570.288864582377
Distributed Energy,8760,2040,1984,2012,10000,false,1.3998979932641702e9,0.0,2.128552074885711e7,6.570087798592606e8,4.876576047578896e9,4107.024666886478,9627.889610685175,0.0,5688.574044691224,16115.089542193891,4.35360924877131e7,2.6813057909901664e7,1.09794583736913e8,16570.288864582377
