scenario,end,year,CY,CY_ts,VOLL,isolated,CO2_cost,load_shedding_cost,VOM_cost,fuel_cost,investment_cost,CCGT,OCGT,PV,w_on,w_off,imported,demand
National Trends,240,2025,1984,2012,10000,true,2.776167278844916e7,0.0,885425.0216300208,2.6771867809456352e7,8.116180967991951e7,6755.147905805156,3973.7496576161034,0.0,9421.271740706945,4522.4948850458695,0.0,2.3777212176155034e6
National Trends,240,2025,1984,2012,10000,false,1.023581304858526e6,0.0,24715.79079194116,987086.8947531503,7.539424518546408e7,0.0,1608.9823963674985,0.0,14999.941447076879,3631.9606585507213,566371.2556384053,2.3777212176155034e6
National Trends,240,2030,1984,2012,10000,true,3.399121008306668e7,0.0,800734.1004227165,2.4082841156601645e7,9.183613945580384e7,6419.354917380724,4277.479912584861,0.0,9854.619272324919,6230.31233780328,0.0,2.4895102440326954e6
National Trends,240,2030,1984,2012,10000,false,2.374189249326425e6,0.0,42720.45433707602,1.6821178895223683e6,6.439140949591492e7,0.0,2030.1478117353136,0.0,2889.3171618093947,9158.043548021704,1.0162549289381782e6,2.4895102440326954e6
National Trends,240,2040,1984,2012,10000,true,4.628635329106084e7,0.0,729359.5622696404,2.172339745197126e7,1.1820234924395232e8,7759.279203377317,3218.0048296451473,0.0,11650.969520901099,9400.353835695527,0.0,2.869625022124534e6
National Trends,240,2040,1984,2012,10000,false,1.2296048207483057e7,0.0,184933.04285325634,5.770857354436258e6,5.358152918620592e7,1530.2761208541397,1846.0983664307068,0.0,3365.9091197662865,6283.589131507821,1.5334648607202584e6,2.869625022124534e6
Distributed Energy,240,2030,1984,2012,10000,true,3.739235038169451e7,0.0,881735.7774901134,2.6492555943542246e7,1.0126695387397067e8,7184.147443833968,4417.1240199513895,0.0,11055.301580483761,6769.956030002215,0.0,2.7830845285949446e6
Distributed Energy,240,2030,1984,2012,10000,false,7.216620337773655e6,0.0,173898.84423912675,5.112990118839093e6,1.0459854683923787e8,1983.1513454089936,308.746566569895,0.0,8017.864479287773,12549.874261147133,592738.1668072706,2.7830845285949446e6
Distributed Energy,240,2040,1984,2012,10000,true,4.864821426187304e7,0.0,761697.9302414471,2.283188064295882e7,1.2826446795382988e8,7878.160382386528,3998.479899720639,0.0,11722.05594560694,10912.407873870266,0.0,3.083974131634052e6
Distributed Energy,240,2040,1984,2012,10000,false,1.8997499781618625e7,0.0,263588.1286528192,8.916024033147164e6,9.03931261777966e7,1504.9591211886536,8688.103589454375,0.0,0.0,13412.120541333938,1.2273160013147006e6,3.083974131634052e6
National Trends,240,2025,1984,2012,10000,true,2.776167278844916e7,0.0,885425.0216300208,2.6771867809456352e7,8.116180967991951e7,6755.147905805156,3973.7496576161034,0.0,9421.271740706945,4522.4948850458695,0.0,2.3777212176155034e6
National Trends,240,2025,1984,2012,10000,false,1.023581304858526e6,0.0,24715.79079194116,987086.8947531503,7.539424518546408e7,0.0,1608.9823963674985,0.0,14999.941447076879,3631.9606585507213,566371.2556384053,2.3777212176155034e6
National Trends,240,2030,1984,2012,10000,true,3.399121008306668e7,0.0,800734.1004227165,2.4082841156601645e7,9.183613945580384e7,6419.354917380724,4277.479912584861,0.0,9854.619272324919,6230.31233780328,0.0,2.4895102440326954e6
National Trends,240,2030,1984,2012,10000,false,2.374189249326425e6,0.0,42720.45433707602,1.6821178895223683e6,6.439140949591492e7,0.0,2030.1478117353136,0.0,2889.3171618093947,9158.043548021704,1.0162549289381782e6,2.4895102440326954e6
National Trends,240,2040,1984,2012,10000,true,4.628635329106084e7,0.0,729359.5622696404,2.172339745197126e7,1.1820234924395232e8,7759.279203377317,3218.0048296451473,0.0,11650.969520901099,9400.353835695527,0.0,2.869625022124534e6
National Trends,240,2040,1984,2012,10000,false,1.2296048207483057e7,0.0,184933.04285325634,5.770857354436258e6,5.358152918620592e7,1530.2761208541397,1846.0983664307068,0.0,3365.9091197662865,6283.589131507821,1.5334648607202584e6,2.869625022124534e6
Distributed Energy,240,2030,1984,2012,10000,true,3.739235038169451e7,0.0,881735.7774901134,2.6492555943542246e7,1.0126695387397067e8,7184.147443833968,4417.1240199513895,0.0,11055.301580483761,6769.956030002215,0.0,2.7830845285949446e6
Distributed Energy,240,2030,1984,2012,10000,false,7.216620337773655e6,0.0,173898.84423912675,5.112990118839093e6,1.0459854683923787e8,1983.1513454089936,308.746566569895,0.0,8017.864479287773,12549.874261147133,592738.1668072706,2.7830845285949446e6
Distributed Energy,240,2040,1984,2012,10000,true,4.864821426187304e7,0.0,761697.9302414471,2.283188064295882e7,1.2826446795382988e8,7878.160382386528,3998.479899720639,0.0,11722.05594560694,10912.407873870266,0.0,3.083974131634052e6
Distributed Energy,240,2040,1984,2012,10000,false,1.8997499781618625e7,0.0,263588.1286528192,8.916024033147164e6,9.03931261777966e7,1504.9591211886536,8688.103589454375,0.0,0.0,13412.120541333938,1.2273160013147006e6,3.083974131634052e6
